"Diameter","stdresid"
3.5,-0.526486590217463
3.8,-0.382022773145677
4.1,-0.137859463078509
4.5,-0.143128990559958
6,0.0511703468959732
5.4,-0.246787309197905
5.5,-0.0446655906504751
6.1,0.0139667055466976
11,0.45696475010862
11,0.611359305468894
11,0.190065112139922
11,0.611359305468894
11,-0.0381899246205806
12,0.52968008550804
12,0.406897290990987
16,0.386164336879812
16,0.101394524019173
18,-0.0194802730300945
38,1.57550522848212
55,1.89393437098825
55,2.00885732136972
54,-1.77836810720285
20,-2.28854598291876
40,-1.49469962363446
92,-1.91360067908322
99,0.0700380724764171
