"Zeta","stdresid"
-41,-1.51909206201019
-4.4,-1.08194654896652
-58.8,0.105282687142506
-2.1,1.44382991445213
-61,-0.602278022612319
-5.6,1.35106013975348
-29.1,-1.72522920691668
-30.6,-1.2868742010555
-25,-0.662323481525376
-18.9,-0.891575759123282
-15.4,-0.805574846487399
-15.2,-0.942989535583902
-0.5,-2.35868732597373
-8.3,0.488007580168069
-59,0.0663224724918706
-59,0.874039855392192
-1,0.159394015545499
-1,1.33754954932612
-61,-0.0695873764812186
-61,0.170201592889796
-4,-0.898809835797852
-4,-0.276602945799172
-2.1,0.940209438071271
-2.1,0.597936013260797
-2.1,0.597936013260797
-21.6,-0.61358003018137
-37.2,1.09741183118433
-6.7,0.365604486088049
-29.1,0.991933256192526
-50,1.04474241383089
-54,0.0948180737561643
-73,0.393513183214829
-1,0.987237790095611
-5,0.473755309842664
-3,-1.36529481358133
-18.9052,1.60002552943683
